LO,LA,FL
-7538.051143,4864934.056,2
-7536.90406,4864933.044,2
-7521.148935,4864942.556,2
-7526.856731,4864934.093,2
-7441.458562,4864927.288,3
-7533.822471,4864941.359,2
-7521.545307,4864946.304,2
-7528.540196,4864939.158,2
-7559.305399,4864887.598,2
-7515.169869,4864946.825,2
-7537.930224,4864959.431,2
-7524.605834,4864951.028,2
-7568.490878,4864870.657,2
-7560.706928,4864875.174,2
-7562.874719,4864869.497,2
-7564.00321,4864879.469,2
-7556.392045,4864885.767,2
-7520.619487,4864892.233,2
-7512.717534,4864887.502,2
-7537.234229,4864902.319,2
-7526.867385,4864889.262,2
-7513.189137,4864890.268,2
-7507.49994,4864877.2,2
-7519.372686,4864891.945,2
-7516.001831,4864889.144,2
-7501.891061,4864884.176,2
-7491.325506,4864899.945,2
-7485.678504,4864898.046,2
-7475.907355,4864866.817,2
-7501.32175,4864864.09,2
-7484.712091,4864897.692,2
-7506.397115,4864854.371,2
-7503.01714,4864857.139,2
-7510.943268,4864843.015,2
-7515.275916,4864847.673,2
-7504.29576,4864865.476,2
-7481.316473,4864865.215,2
-7508.760154,4864858.183,2
-7511.153924,4864852.926,2
-7472.748051,4864864.823,2
-7473.217715,4864864.937,2
-7458.53922,4864851.775,2
-7479.643165,4864866.877,2
-7480.721688,4864866.634,2
-7466.877312,4864859.339,2
-7460.273965,4864852.07,2
-7334.283889,4864767.158,3
-7342.183136,4864771.781,3
-7461.26969,4864852.088,2
-7332.114104,4864768.53,3
-7339.85991,4864759.559,3
-7341.580558,4864760.143,3
-7342.277354,4864755.734,3
-7342.089194,4864754.997,3
-7340.2373,4864749.719,3
-7338.878568,4864753.697,3
-7343.420228,4864750.236,3
-7347.521611,4864753.398,3
-7344.858294,4864749.576,3
-7348.491725,4864748.474,3
-7404.70975,4864792.376,3
-7402.54512,4864793.348,3
-7410.374726,4864791.797,3
-7411.911244,4864803.465,3
-7412.867367,4864790.257,3
-7409.717421,4864791.899,3
-7413.516196,4864786.459,3
-7404.867409,4864789.072,3
-7413.655794,4864785.094,3
-7403.592468,4864789.057,3
-7399.080696,4864787.978,3
-7406.121266,4864788.979,3
-7404.131024,4864788.607,3
-7399.310994,4864784.064,3
-7396.229274,4864780.544,3
-7397.095508,4864779.878,3
-7396.695397,4864786.14,3
-7413.982183,4864796.084,3
-7392.61466,4864778.313,3
-7384.756716,4864780.566,3
-7392.56404,4864779.866,3
-7391.338633,4864781.582,3
-7384.045133,4864787.599,3
-7441.458562,4864927.288,3
-7383.818267,4864779.239,3
-7380.962843,4864776.684,3
-7382.520334,4864775.099,3
-7391.77821,4864779.738,3
-7385.824157,4864776.973,3
-7375.404285,4864773.694,3
-7372.672163,4864773.528,3
-7371.706267,4864780.741,3
-7370.165825,4864770.428,3
-7367.683659,4864768.311,3
-7363.6004,4864766.179,3
-7366.987988,4864766.301,3
-7370.636792,4864771.317,3
-7360.910325,4864764.251,3
-7356.014221,4864761.899,3
-7360.281988,4864770.293,3
-7367.070412,4864764.596,3
-7360.921778,4864756.537,3
-7354.619304,4864760.126,3
-7350.164505,4864757.567,3
-7355.883998,4864757.328,3
-7361.990775,4864758.499,3
-7354.941245,4864759.422,3
-7353.181147,4864760.743,3
-7537.180974,4864928.345,2
-7536.671329,4864911.705,2
-7346.677652,4864755.311,3
-7353.89504,4864759.041,3
-7539.345849,4864923.816,2
-7530.516137,4864934.093,2
-7531.608092,4864944.755,2
-7527.547246,4864938.415,2
-7528.042987,4864930.64,2
-7548.551709,4864886.069,2
-7524.893876,4864938.79,2
-7516.921621,4864940.298,2
-7528.436947,4864955.815,2
-7524.304295,4864947.503,2
-7567.97178,4864875.394,2
-7562.991355,4864869.089,2
-7558.904374,4864887.134,2
-7562.389908,4864869.154,2
-7564.266435,4864879.008,2
-7520.614899,4864892.347,2
-7517.299455,4864881.809,2
-7559.266939,4864878.344,2
-7538.161303,4864901.946,2
-7506.968137,4864892.053,2
-7520.546059,4864892.233,2
-7517.15736,4864891.875,2
-7508.143251,4864892.509,2
-7512.61733,4864889.247,2
-7501.019547,4864864.3,2
-7486.632234,4864899.437,2
-7505.878482,4864886.087,2
-7493.5281,4864896.456,2
-7495.496255,4864896.12,2
-7506.496378,4864855.716,2
-7512.649139,4864847.855,2
-7510.411911,4864843.881,2
-7501.551326,4864862.17,2
-7501.910898,4864861.735,2
-7508.641121,4864864.156,2
-7500.39497,4864865.568,2
-7480.867344,4864878.548,2
-7510.765405,4864859.118,2
-7512.478065,4864851.616,2
-7473.829996,4864865.08,2
-7472.268429,4864863.229,2
-7474.426674,4864864.721,2
-7471.151457,4864864.353,2
-7333.163784,4864766.983,3
-7342.791645,4864801.378,3
-7459.927838,4864843.391,2
-7457.602288,4864853.89,2
-7352.283503,4864769.637,3
-7343.163848,4864753.36,3
-7343.456331,4864753.036,3
-7339.369947,4864760.295,3
-7343.087919,4864758.288,3
-7338.948201,4864759.695,3
-7339.605782,4864750.549,3
-7344.889466,4864750.218,3
-7344.071774,4864750.486,3
-7340.591465,4864750.478,3
-7390.390194,4864754.775,3
-7409.350099,4864792.19,3
-7409.00498,4864793.989,3
-7410.244606,4864792.399,3
-7346.518888,4864749.237,3
-7413.040203,4864790.343,3
-7411.482769,4864784.96,3
-7394.556511,4864791.697,3
-7412.621277,4864787.736,3
-7403.102953,4864788.821,3
-7404.656909,4864793.322,3
-7402.489805,4864788.362,3
-7403.177164,4864787.633,3
-7403.50744,4864789.24,3
-7398.666101,4864779.878,3
-7394.650221,4864784.478,3
-7397.847453,4864789.364,3
-7400.324536,4864785.257,3
-7398.795348,4864790.126,3
-7386.669492,4864775.039,3
-7410.451885,4864789.868,3
-7389.79518,4864782.133,3
-7384.999429,4864778.148,3
-7395.915137,4864779.784,3
-7390.343947,4864780.9,3
-7391.146349,4864780.717,3
-7389.171583,4864778.715,3
-7383.926208,4864776.558,3
-7385.109313,4864779.69,3
-7370.661972,4864777.821,3
-7371.772149,4864775.159,3
-7373.198014,4864795.491,3
-7366.922051,4864767.122,3
-7374.305185,4864771.472,3
-7370.610998,4864772.793,3
-7380.895486,4864774.242,3
-7367.872572,4864763.445,3
-7363.034809,4864763.441,3
-7363.904599,4864759.743,3
-7359.819866,4864762.321,3
-7353.775876,4864760.575,3
-7356.631002,4864763.244,3
-7355.041326,4864758.009,3
-7352.143742,4864758.276,3
-7355.279108,4864760.204,3
-7350.196009,4864757.945,3
-7352.440658,4864757.039,3
-7351.438283,4864758.638,3
-7352.070318,4864763.199,3
-7526.917736,4864934.093,2
-7537.815731,4864927.596,2
-7525.600365,4864934.093,2
-7536.8451,4864925.749,2
-7536.698486,4864933.045,2
-7523.458382,4864939.672,2
-7522.789369,4864942.323,2
-7523.153914,4864945.87,2
-7526.211308,4864951.409,1
-7531.076435,4864940.839,2
-7563.974727,4864879.469,2
-7559.98132,4864887.65,2
-7528.059269,4864956.857,2
-7567.017513,4864886.588,2
-7562.293716,4864870.216,2
-7566.375948,4864870.285,2
-7556.003258,4864885.82,2
-7562.21444,4864867.255,2
-7550.781307,4864896.402,2
-7508.802926,4864893.773,2
-7520.768608,4864892.233,2
-7520.624357,4864892.012,2
-7517.494756,4864887.997,2
-7513.554296,4864893.646,2
-7507.551109,4864889.69,2
-7514.54724,4864889.007,2
